label_id,label_name,category,rank_key,model,split,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split_type,fold_id
return_1h,1h close return,return,,catboost_ranker,,272,55,4.6376,7.5966,4.6376,50.0,37.13,50.0,9.9799,31.5338,-38.3219,100.0,4.6376,22.935,0.5844,1.0,0.7818,0.6364,0.3673,0.6182,0.8665,0.9818,monthly,2026-06
return_1h,1h close return,return,,catboost_ranker,,35,7,6.9105,9.9527,6.9105,71.43,28.57,71.43,4.5999,17.0487,-17.7535,100.0,6.9105,34.5523,0.408,1.0,0.4286,0.5,0.2857,0.4762,0.6667,1.0,weekly,2026-06-11
return_1h,1h close return,return,,catboost_ranker,,60,12,6.4237,8.7339,6.4237,65.0,36.67,65.0,5.9073,31.4936,-12.2273,100.0,6.4237,32.1184,0.4362,1.0,0.6667,0.4583,0.3667,0.6111,0.7986,1.0,weekly,2026-06-12
return_1h,1h close return,return,,catboost_ranker,,57,12,3.1635,5.3697,3.1635,36.84,40.35,36.84,4.3883,34.8634,-4.5245,100.0,3.1635,15.0269,0.6585,1.0,0.8333,0.7083,0.3833,0.6667,0.9028,1.0,weekly,2026-06-13
return_1h,1h close return,return,,catboost_ranker,,60,12,3.0433,5.5475,3.0433,43.33,43.33,43.33,3.569,6.4579,-38.3219,100.0,3.0433,15.2166,0.7665,1.0,0.9167,0.7917,0.4333,0.7222,0.9583,1.0,weekly,2026-06-14
return_1h,1h close return,return,,catboost_ranker,,60,12,4.5203,9.361,4.5203,41.67,33.33,41.67,4.2889,13.4904,-19.3594,100.0,4.5203,22.6013,0.5793,1.0,0.9167,0.6667,0.3333,0.5556,0.9226,0.9167,weekly,2026-06-15
return_1h,1h close return,return,,catboost_ranker,walk_forward,272,55,4.6376,7.5966,4.6376,50.0,60.29,50.0,9.9799,31.5338,-38.3219,100.0,4.6376,22.935,0.9984,0.6316,1.0,1.0,0.5964,1.0,1.0,1.0,,
return_2h,2h close return,return,return_2h,catboost_ranker,blind,272,55,5.0314,8.2223,5.0314,55.88,54.41,55.88,10.1092,29.246,-34.5691,100.0,5.0314,24.8828,0.8261,1.0,0.9273,0.8545,0.5382,0.903,0.9606,1.0,blind_holdout,
return_2h,2h close return,return,,catboost_ranker,,272,55,5.0314,8.2223,5.0314,55.88,54.41,55.88,10.1092,29.246,-34.5691,100.0,5.0314,24.8828,0.8261,1.0,0.9273,0.8545,0.5382,0.903,0.9606,1.0,monthly,2026-06
return_2h,2h close return,return,,catboost_ranker,,35,7,8.6023,12.9263,8.6023,77.14,54.29,77.14,6.0887,64.0841,-4.322,100.0,8.6023,43.0116,0.6715,1.0,0.7143,0.7143,0.5429,0.9048,0.8333,1.0,weekly,2026-06-11
return_2h,2h close return,return,,catboost_ranker,,60,12,7.3295,11.6247,7.3295,71.67,51.67,71.67,6.2064,37.4423,-9.9589,100.0,7.3295,36.6475,0.7134,1.0,1.0,0.8333,0.5167,0.8611,1.0,1.0,weekly,2026-06-12
return_2h,2h close return,return,,catboost_ranker,,57,12,3.2987,4.812,3.2987,40.35,57.89,40.35,4.5544,26.1452,-6.3609,100.0,3.2987,15.6689,0.9088,1.0,0.9167,0.9167,0.55,0.9444,0.9583,1.0,weekly,2026-06-13
return_2h,2h close return,return,,catboost_ranker,,60,12,3.246,5.4178,3.246,51.67,53.33,51.67,3.6585,6.3793,-34.5691,100.0,3.246,16.2298,0.9071,1.0,1.0,0.875,0.5333,0.8889,1.0,1.0,weekly,2026-06-14
