rule_id,rule_expr,direction,cluster_id,activation_conditions,preferred_regime,avoid_regime,volatility_preference,trend_preference,time_preference,expected_holding_profile,confidence,sample_size,avg_return_2h,precision_pct,status_tags,discovery_decision
EX_OR_E_direction_confidence_gte_1.0_E_obs_body_pct_gte_9.53875,(direction_confidence >= 1 OR obs_body_pct >= 9.539),long,bull_trend,(direction_confidence >= 1 OR obs_body_pct >= 9.539),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,52.38,mined_pool,
EX_OR_E_direction_confidence_gte_1.0_E_obs_body_pct_gte_11.448538,(direction_confidence >= 1 OR obs_body_pct >= 11.45),long,bull_trend,(direction_confidence >= 1 OR obs_body_pct >= 11.45),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,52.38,mined_pool,
EX_OR_E_direction_confidence_gte_1.0_E_direction_confidence_gte_0.5648,(direction_confidence >= 1 OR direction_confidence >= 0.5648),long,bull_trend,(direction_confidence >= 1 OR direction_confidence >= 0.5648),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,57.14,mined_pool,
EX_OR_E_direction_confidence_gte_1.0_E_direction_confidence_gte_0.6736,(direction_confidence >= 1 OR direction_confidence >= 0.6736),long,bull_trend,(direction_confidence >= 1 OR direction_confidence >= 0.6736),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,57.14,mined_pool,
EX_OR_E_obs_low_pct_gte_-2.914012_E_execution_score_gte_-0.27795,(obs_low_pct >= -2.914 OR execution_score >= -0.2779),long,reversal,(obs_low_pct >= -2.914 OR execution_score >= -0.2779),bull,sideway,low_volatility,bull,asia,2h_reversal_bounce,high,21,4.6456,57.14,mined_pool,
EX_OR_E_obs_low_pct_gte_-2.914012_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,(obs_low_pct >= -2.914 OR (obs_return_pct - gap_to_best_entry) >= -5.877),long,strong_breakout,(obs_low_pct >= -2.914 OR (obs_return_pct - gap_to_best_entry) >= -5.877),bull,sideway,low_volatility,bull,asia,2h_reversal_bounce,high,21,4.6456,66.67,mined_pool,
EX_OR_E_obs_low_pct_gte_-2.914012_E_pattern_confidence_lte_0.452425,(obs_low_pct >= -2.914 OR pattern_confidence <= 0.4524),long,bull_trend,(obs_low_pct >= -2.914 OR pattern_confidence <= 0.4524),bull,sideway,low_volatility,bull,asia,2h_reversal_bounce,high,21,4.3622,66.67,mined_pool,
EX_OR_E_obs_low_pct_gte_-2.914012_E_pattern_confidence_lte_0.474463,(obs_low_pct >= -2.914 OR pattern_confidence <= 0.4745),long,bull_trend,(obs_low_pct >= -2.914 OR pattern_confidence <= 0.4745),bull,sideway,low_volatility,bull,asia,2h_reversal_bounce,high,21,4.3622,66.67,mined_pool,
EX_OR_E_obs_low_pct_gte_-2.914012_E_obs_body_pct_gte_9.53875,(obs_low_pct >= -2.914 OR obs_body_pct >= 9.539),long,reversal,(obs_low_pct >= -2.914 OR obs_body_pct >= 9.539),bull,sideway,low_volatility,bull,asia,2h_reversal_bounce,high,21,4.3405,66.67,mined_pool,
EX_OR_E_obs_low_pct_gte_-2.914012_E_obs_body_pct_gte_11.448538,(obs_low_pct >= -2.914 OR obs_body_pct >= 11.45),long,reversal,(obs_low_pct >= -2.914 OR obs_body_pct >= 11.45),bull,sideway,low_volatility,bull,asia,2h_reversal_bounce,high,21,4.3405,66.67,mined_pool,
EX_OR_E_obs_low_pct_gte_-2.914012_E_direction_confidence_gte_0.5648,(obs_low_pct >= -2.914 OR direction_confidence >= 0.5648),long,bull_trend,(obs_low_pct >= -2.914 OR direction_confidence >= 0.5648),bull,sideway,low_volatility,bull,asia,2h_reversal_bounce,high,21,4.6456,66.67,mined_pool,
EX_OR_E_obs_low_pct_gte_-2.914012_E_direction_confidence_gte_0.6736,(obs_low_pct >= -2.914 OR direction_confidence >= 0.6736),long,bull_trend,(obs_low_pct >= -2.914 OR direction_confidence >= 0.6736),bull,sideway,low_volatility,bull,asia,2h_reversal_bounce,high,21,4.6456,66.67,mined_pool,
EX_OR_E_execution_score_gte_-0.27795_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,(execution_score >= -0.2779 OR (obs_return_pct - gap_to_best_entry) >= -5.877),long,strong_breakout,(execution_score >= -0.2779 OR (obs_return_pct - gap_to_best_entry) >= -5.877),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.6456,61.9,mined_pool,
