scan_time_kst,symbol,direction,entry_score,live_pattern,movement_group,portfolio_result,portfolio_stage,action,replaced_symbol,required_score,score_gap
2026-06-03 14:00:00,SKYAIUSDT,short,72.41,UNLABELED,UNLABELED|r-14.0|rng36.0,Low_Score,portfolio,,,77.4,4.99
2026-06-03 16:00:00,MAGMAUSDT,long,61.66,SHORT_REVERSAL,SHORT_REVERSAL|r13.0|rng15.0,Low_Score,portfolio,,,76.7,15.04
2026-06-03 18:00:00,VICUSDT,long,65.45,LONG_REVERSAL,LONG_REVERSAL|r20.0|rng25.0,Low_Score,portfolio,,,76.7,11.25
2026-06-03 20:00:00,EPICUSDT,short,69.58,SHORT_REVERSAL,SHORT_REVERSAL|r-13.0|rng18.0,Low_Score,portfolio,,,77.4,7.82
2026-06-03 22:00:00,PLAYUSDT,short,73.06,SHORT_CONTINUATION,SHORT_CONTINUATION|r-22.0|rng25.0,Low_Score,portfolio,,,77.4,4.34
2026-06-04 00:00:00,OPNUSDT,long,73.77,LONG_BREAKOUT,LONG_BREAKOUT|r18.0|rng21.0,Low_Score,portfolio,,,76.7,2.93
2026-06-04 02:00:00,OPNUSDT,long,68.03,SHORT_REVERSAL,SHORT_REVERSAL|r18.0|rng28.0,Low_Score,portfolio,,,76.7,8.67
2026-06-04 06:00:00,STOUSDT,short,57.85,SHORT_REVERSAL,SHORT_REVERSAL|r-11.0|rng14.0,Low_Score,portfolio,,,77.4,19.55
2026-06-04 14:00:00,HEIUSDT,long,76.45,UNLABELED,UNLABELED|r29.0|rng36.0,Low_Score,portfolio,,,76.7,0.25
2026-06-04 22:00:00,PLAYUSDT,short,72.22,SHORT_REVERSAL,SHORT_REVERSAL|r-15.0|rng30.0,Low_Score,portfolio,,,77.4,5.18
2026-06-06 18:00:00,ALLOUSDT,long,73.9,LONG_BREAKOUT,LONG_BREAKOUT|r18.0|rng20.0,Low_Score,portfolio,,,76.7,2.8
2026-06-06 22:00:00,HEIUSDT,long,74.65,LONG_BREAKOUT,LONG_BREAKOUT|r19.0|rng21.0,Low_Score,portfolio,,,76.7,2.05
2026-06-07 04:00:00,BTWUSDT,long,61.16,LONG_REVERSAL,LONG_REVERSAL|r15.0|rng30.0,Low_Score,portfolio,,,76.7,15.54
2026-06-07 04:00:00,HEIUSDT,short,66.51,SHORT_REVERSAL,SHORT_REVERSAL|r-15.0|rng16.0,Low_Score,portfolio,,,77.4,10.89
2026-06-07 10:00:00,CLOUSDT,long,72.86,LONG_CONTINUATION,LONG_CONTINUATION|r17.0|rng25.0,Low_Score,portfolio,,,76.7,3.84
2026-06-07 10:00:00,CLOUSDT,short,71.21,LONG_CONTINUATION,LONG_CONTINUATION|r17.0|rng25.0,Low_Score,portfolio,,,77.4,6.19
2026-06-07 12:00:00,SKYAIUSDT,short,76.09,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-20.0|rng22.0,Already_Occupied,portfolio,,,,
2026-06-07 12:00:00,SKYAIUSDT,short,76.09,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-20.0|rng22.0,Low_Score,portfolio,,,77.4,1.31
2026-06-07 18:00:00,HOMEUSDT,short,79.6,SHORT_REVERSAL,SHORT_REVERSAL|r-23.0|rng33.0,Replacement,portfolio,replace,AIAUSDT,,
2026-06-07 18:00:00,BTWUSDT,short,74.36,SHORT_REVERSAL,SHORT_REVERSAL|r-19.0|rng36.0,Low_Score,portfolio,,,77.4,3.04
2026-06-07 20:00:00,SIRENUSDT,long,78.73,LONG_BREAKOUT,LONG_BREAKOUT|r25.0|rng28.0,Replacement,portfolio,replace,LABUSDT,,
2026-06-08 00:00:00,BSBUSDT,long,74.37,LONG_BREAKOUT,LONG_BREAKOUT|r19.0|rng23.0,Low_Score,portfolio,,,77.36,2.99
2026-06-08 02:00:00,BSBUSDT,short,60.17,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-7.0|rng19.0,Low_Score,portfolio,,,85.97,25.8
2026-06-08 04:00:00,OPNUSDT,short,56.92,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-10.0|rng19.0,Low_Score,portfolio,,,85.97,29.05
2026-06-08 08:00:00,BTWUSDT,short,69.64,UNLABELED,UNLABELED|r-14.0|rng18.0,Low_Score,portfolio,,,85.97,16.33
2026-06-08 12:00:00,ESPORTSUSDT,short,69.65,UNLABELED,UNLABELED|r-14.0|rng24.0,Low_Score,portfolio,,,85.97,16.32
2026-06-08 18:00:00,ESPORTSUSDT,short,72.44,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-15.0|rng21.0,Low_Score,portfolio,,,85.97,13.53
2026-06-08 20:00:00,ALLOUSDT,short,69.82,UNLABELED,UNLABELED|r-12.0|rng24.0,Low_Score,portfolio,,,85.97,16.15
2026-06-09 16:00:00,SLXUSDT,long,71.14,LONG_CONTINUATION,LONG_CONTINUATION|r14.0|rng19.0,Low_Score,portfolio,,,77.36,6.22
2026-06-09 22:00:00,HUSDT,short,61.51,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-8.0|rng14.0,Low_Score,portfolio,,,85.97,24.46
2026-06-10 10:00:00,BTWUSDT,long,77.77,LONG_BREAKOUT,LONG_BREAKOUT|r24.0|rng27.0,Replacement,portfolio,replace,DEXEUSDT,,
2026-06-10 10:00:00,HUSDT,short,68.16,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-13.0|rng18.0,Low_Score,portfolio,,,85.97,17.81
2026-06-10 12:00:00,BTWUSDT,short,64.62,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-1.0|rng22.0,Low_Score,portfolio,,,85.97,21.35
2026-06-10 16:00:00,ESPORTSUSDT,long,84.06,LONG_BREAKOUT,LONG_BREAKOUT|r36.0|rng43.0,Replacement,portfolio,replace,HUSDT,,
2026-06-10 16:00:00,ESPORTSUSDT,short,79.17,LONG_BREAKOUT,LONG_BREAKOUT|r36.0|rng43.0,Low_Score,portfolio,,,85.97,6.8
2026-06-11 00:00:00,OPNUSDT,long,70.29,LONG_BREAKOUT,LONG_BREAKOUT|r14.0|rng19.0,Low_Score,portfolio,,,83.99,13.7
2026-06-11 02:00:00,GUAUSDT,short,59.88,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-6.0|rng10.0,Low_Score,portfolio,,,85.97,26.09
2026-06-11 04:00:00,VELVETUSDT,long,76.18,LONG_BREAKOUT,LONG_BREAKOUT|r21.0|rng76.0,Low_Score,portfolio,,,83.99,7.81
2026-06-11 06:00:00,VELVETUSDT,short,70.67,UNLABELED,UNLABELED|r-15.0|rng22.0,Low_Score,portfolio,,,85.97,15.3
2026-06-11 10:00:00,AIOUSDT,long,76.06,LONG_REVERSAL,LONG_REVERSAL|r27.0|rng29.0,Low_Score,portfolio,,,83.99,7.93
2026-06-11 10:00:00,CLOUSDT,long,70.87,LONG_BREAKOUT,LONG_BREAKOUT|r18.0|rng20.0,Low_Score,portfolio,,,83.99,13.12
2026-06-11 12:00:00,AINUSDT,long,59.65,SHORT_REVERSAL,SHORT_REVERSAL|r11.0|rng19.0,Low_Score,portfolio,,,83.99,24.34
2026-06-11 12:00:00,AIOUSDT,short,65.04,SHORT_REVERSAL,SHORT_REVERSAL|r-11.0|rng18.0,Low_Score,portfolio,,,85.97,20.93
2026-06-11 14:00:00,VELVETUSDT,long,71.04,LONG_BREAKOUT,LONG_BREAKOUT|r21.0|rng25.0,Low_Score,portfolio,,,83.99,12.95
2026-06-12 02:00:00,ESPORTSUSDT,long,74.29,LONG_REVERSAL,LONG_REVERSAL|r26.0|rng29.0,Already_Occupied,portfolio,,,,
2026-06-12 02:00:00,ESPORTSUSDT,long,74.29,LONG_REVERSAL,LONG_REVERSAL|r26.0|rng29.0,Low_Score,portfolio,,,83.99,9.7
2026-06-12 02:00:00,VELVETUSDT,long,74.58,LONG_CONTINUATION,LONG_CONTINUATION|r20.0|rng23.0,Low_Score,portfolio,,,83.99,9.41
2026-06-12 04:00:00,LUMIAUSDT,long,73.11,LONG_BREAKOUT,LONG_BREAKOUT|r17.0|rng19.0,Low_Score,portfolio,,,83.99,10.88
2026-06-12 06:00:00,VELVETUSDT,short,69.22,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-13.0|rng25.0,Low_Score,portfolio,,,85.97,16.75
2026-06-12 08:00:00,ESPORTSUSDT,short,74.2,SHORT_REVERSAL,SHORT_REVERSAL|r-20.0|rng30.0,Low_Score,portfolio,,,85.97,11.77
2026-06-12 08:00:00,BEATUSDT,short,68.18,SHORT_REVERSAL,SHORT_REVERSAL|r-15.0|rng19.0,Low_Score,portfolio,,,85.97,17.79
2026-06-12 10:00:00,ESPORTSUSDT,short,82.11,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-29.0|rng31.0,Low_Score,portfolio,,,85.97,3.86
2026-06-12 10:00:00,UBUSDT,short,67.28,UNLABELED,UNLABELED|r-14.0|rng18.0,Low_Score,portfolio,,,85.97,18.69
2026-06-12 14:00:00,LUMIAUSDT,short,61.26,SHORT_REVERSAL,SHORT_REVERSAL|r-11.0|rng13.0,Low_Score,portfolio,,,85.97,24.71
2026-06-12 18:00:00,ESPORTSUSDT,long,71.56,SHORT_REVERSAL,SHORT_REVERSAL|r22.0|rng45.0,Already_Occupied,portfolio,,,,
2026-06-12 18:00:00,ESPORTSUSDT,long,71.56,SHORT_REVERSAL,SHORT_REVERSAL|r22.0|rng45.0,Low_Score,portfolio,,,83.99,12.43
2026-06-12 20:00:00,UBUSDT,short,57.07,SHORT_REVERSAL,SHORT_REVERSAL|r-11.0|rng13.0,Low_Score,portfolio,,,85.97,28.9
2026-06-13 02:00:00,BEATUSDT,short,61.37,SHORT_REVERSAL,SHORT_REVERSAL|r-12.0|rng14.0,Low_Score,portfolio,,,85.97,24.6
2026-06-13 22:00:00,COAIUSDT,long,74.62,LONG_BREAKOUT,LONG_BREAKOUT|r23.0|rng26.0,Low_Score,portfolio,,,83.99,9.37
2026-06-14 00:00:00,AIAUSDT,long,68.54,LONG_CONTINUATION,LONG_CONTINUATION|r14.0|rng16.0,Low_Score,portfolio,,,83.99,15.45
2026-06-14 00:00:00,AIAUSDT,short,61.57,LONG_CONTINUATION,LONG_CONTINUATION|r14.0|rng16.0,Low_Score,portfolio,,,85.97,24.4
2026-06-14 08:00:00,COAIUSDT,short,62.93,SHORT_REVERSAL,SHORT_REVERSAL|r-6.0|rng10.0,Low_Score,portfolio,,,85.97,23.04
2026-06-14 12:00:00,HUSDT,long,70.94,LONG_CONTINUATION,LONG_CONTINUATION|r19.0|rng23.0,Low_Score,portfolio,,,83.99,13.05
2026-06-14 22:00:00,HUSDT,short,89.37,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-32.0|rng54.0,Replacement,portfolio,replace,HOMEUSDT,,
2026-06-15 06:00:00,OPGUSDT,long,79.55,LONG_BREAKOUT,LONG_BREAKOUT|r26.0|rng32.0,Low_Score,portfolio,,,83.99,4.44
2026-06-15 06:00:00,EVAAUSDT,short,61.62,SHORT_REVERSAL,SHORT_REVERSAL|r-3.0|rng20.0,Low_Score,portfolio,,,87.52,25.9
2026-06-15 06:00:00,OPGUSDT,short,75.55,LONG_BREAKOUT,LONG_BREAKOUT|r26.0|rng32.0,Low_Score,portfolio,,,87.52,11.97
2026-06-15 12:00:00,EVAAUSDT,long,67.07,SHORT_REVERSAL,SHORT_REVERSAL|r12.0|rng31.0,Low_Score,portfolio,,,83.99,16.92
2026-06-15 16:00:00,JELLYJELLYUSDT,short,83.82,SHORT_REVERSAL,SHORT_REVERSAL|r-31.0|rng34.0,Low_Score,portfolio,,,87.52,3.7
2026-06-15 16:00:00,GWEIUSDT,short,64.01,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-15.0|rng15.0,Low_Score,portfolio,,,87.52,23.51
2026-06-15 16:00:00,BEATUSDT,short,68.6,SHORT_CONTINUATION,SHORT_CONTINUATION|r-14.0|rng19.0,Low_Score,portfolio,,,87.52,18.92
2026-06-15 18:00:00,HUSDT,long,59.92,SHORT_REVERSAL,SHORT_REVERSAL|r5.0|rng21.0,Low_Score,portfolio,,,83.99,24.07
2026-06-15 20:00:00,HUSDT,short,79.84,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-23.0|rng25.0,Already_Occupied,portfolio,,,,
2026-06-15 20:00:00,HUSDT,short,79.84,SHORT_BREAKDOWN,SHORT_BREAKDOWN|r-23.0|rng25.0,Low_Score,portfolio,,,87.52,7.68
