seq_len,model,feature_count,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split,split_type,fold_id
9,lightgbm_ranker,310,272,55,4.2796,7.7637,4.2796,50.74,59.19,50.74,7.8395,18.9793,-36.7103,100.0,4.2796,21.1645,0.957,0.3996,1.0,0.9909,0.5855,0.9818,1.0,1.0,blind_temporal,,
9,lightgbm_ranker,,272,55,4.2796,7.7637,4.2796,50.74,59.19,50.74,7.8395,18.9793,-36.7103,100.0,4.2796,21.1645,0.957,0.3996,1.0,0.9909,0.5855,0.9818,1.0,1.0,,monthly,2026-06
9,lightgbm_ranker,,35,7,7.7534,11.6158,7.7534,68.57,57.14,68.57,4.8335,15.7097,-17.0784,100.0,7.7534,38.7668,0.8698,0.3164,1.0,0.9286,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
9,lightgbm_ranker,,60,12,7.374,12.126,7.374,66.67,60.0,66.67,6.0444,35.8691,-9.9589,100.0,7.374,36.8702,0.9919,0.3196,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-12
9,lightgbm_ranker,,57,12,2.4163,4.127,2.4163,40.35,59.65,40.35,2.9628,8.764,-10.3206,100.0,2.4163,11.4774,0.9421,0.501,1.0,1.0,0.5667,0.9722,1.0,1.0,,weekly,2026-06-13
9,lightgbm_ranker,,60,12,2.2214,5.9548,2.2214,48.33,58.33,48.33,2.1349,3.3155,-36.7103,100.0,2.2214,11.1069,0.9785,0.4314,1.0,1.0,0.5833,0.9722,1.0,1.0,,weekly,2026-06-14
9,lightgbm_ranker,,60,12,2.9871,6.5997,2.9871,36.67,60.0,36.67,2.3275,4.8945,-28.0307,100.0,2.9871,14.9357,0.9663,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
9,xgboost_ranker,310,272,55,4.559,7.96,4.559,52.57,58.82,52.57,8.6719,23.5355,-35.7436,100.0,4.559,22.5466,0.9536,0.3996,1.0,0.9818,0.5818,0.9758,1.0,1.0,blind_temporal,,
9,xgboost_ranker,,272,55,4.559,7.96,4.559,52.57,58.82,52.57,8.6719,23.5355,-35.7436,100.0,4.559,22.5466,0.9536,0.3996,1.0,0.9818,0.5818,0.9758,1.0,1.0,,monthly,2026-06
9,xgboost_ranker,,35,7,7.8326,11.6158,7.8326,68.57,57.14,68.57,4.9133,15.8578,-17.0784,100.0,7.8326,39.1628,0.8578,0.3164,1.0,0.9286,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
9,xgboost_ranker,,60,12,7.3792,12.3703,7.3792,66.67,60.0,66.67,6.0483,35.8941,-9.9589,100.0,7.3792,36.8958,0.9851,0.3196,1.0,0.9583,0.6,1.0,1.0,1.0,,weekly,2026-06-12
9,xgboost_ranker,,57,12,2.9085,4.127,2.9085,43.86,59.65,43.86,3.7062,13.5165,-9.1438,100.0,2.9085,13.8154,0.9478,0.501,1.0,1.0,0.5667,0.9722,1.0,1.0,,weekly,2026-06-13
9,xgboost_ranker,,60,12,2.5024,6.1645,2.5024,48.33,56.67,48.33,2.6312,4.4979,-35.7436,100.0,2.5024,12.5119,0.9741,0.4314,1.0,1.0,0.5667,0.9444,1.0,1.0,,weekly,2026-06-14
9,xgboost_ranker,,60,12,3.4541,7.046,3.4541,41.67,60.0,41.67,2.8242,6.5977,-28.0307,100.0,3.4541,17.2704,0.9631,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
12,catboost_ranker,310,272,55,4.6368,7.6991,4.6368,52.94,59.56,52.94,8.8539,23.9043,-31.8303,100.0,4.6368,22.9309,0.9595,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0,blind_temporal,,
12,catboost_ranker,,272,55,4.6368,7.6991,4.6368,52.94,59.56,52.94,8.8539,23.9043,-31.8303,100.0,4.6368,22.9309,0.9595,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0,,monthly,2026-06
12,catboost_ranker,,35,7,7.9454,12.1278,7.9454,71.43,57.14,71.43,5.0133,16.0862,-17.0784,100.0,7.9454,39.727,0.8733,0.3164,1.0,1.0,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
12,catboost_ranker,,60,12,7.4811,12.126,7.4811,70.0,60.0,70.0,6.1708,36.39,-9.9589,100.0,7.4811,37.4056,0.9869,0.3196,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-12
12,catboost_ranker,,57,12,2.6135,3.5323,2.6135,40.35,59.65,40.35,3.1949,9.4141,-11.6587,100.0,2.6135,12.4142,0.9496,0.501,1.0,0.9583,0.5667,0.9722,1.0,1.0,,weekly,2026-06-13
12,catboost_ranker,,60,12,2.8785,5.9548,2.8785,50.0,60.0,50.0,3.1206,5.3067,-31.8303,100.0,2.8785,14.3927,0.9814,0.4314,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-14
12,catboost_ranker,,60,12,3.5427,6.5997,3.5427,40.0,60.0,40.0,2.9126,6.8184,-28.9009,100.0,3.5427,17.7133,0.9702,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
12,lightgbm_ranker,310,272,55,4.4212,7.7637,4.4212,51.47,58.82,51.47,8.2386,20.7542,-37.0473,100.0,4.4212,21.865,0.9572,0.3996,1.0,0.9909,0.5818,0.9758,1.0,1.0,blind_temporal,,
12,lightgbm_ranker,,272,55,4.4212,7.7637,4.4212,51.47,58.82,51.47,8.2386,20.7542,-37.0473,100.0,4.4212,21.865,0.9572,0.3996,1.0,0.9909,0.5818,0.9758,1.0,1.0,,monthly,2026-06
12,lightgbm_ranker,,35,7,7.7534,11.6158,7.7534,68.57,57.14,68.57,4.8335,15.7097,-17.0784,100.0,7.7534,38.7668,0.871,0.3164,1.0,0.9286,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
12,lightgbm_ranker,,60,12,7.3633,12.126,7.3633,65.0,60.0,65.0,6.0324,35.8171,-9.9589,100.0,7.3633,36.8167,0.9896,0.3196,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-12
12,lightgbm_ranker,,57,12,2.6015,4.127,2.6015,40.35,57.89,40.35,3.2682,10.3448,-10.3206,100.0,2.6015,12.3569,0.9407,0.501,1.0,1.0,0.55,0.9444,1.0,1.0,,weekly,2026-06-13
12,lightgbm_ranker,,60,12,2.1512,5.9548,2.1512,50.0,58.33,50.0,2.0519,3.1925,-37.0473,100.0,2.1512,10.7561,0.9801,0.4314,1.0,1.0,0.5833,0.9722,1.0,1.0,,weekly,2026-06-14
12,lightgbm_ranker,,60,12,3.5342,6.5997,3.5342,40.0,60.0,40.0,2.9066,6.7984,-28.0307,100.0,3.5342,17.6712,0.9689,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
12,xgboost_ranker,310,272,55,4.29,7.8169,4.29,51.84,58.46,51.84,7.8585,19.5877,-40.5156,100.0,4.29,21.216,0.9521,0.3996,1.0,0.9818,0.5782,0.9697,1.0,1.0,blind_temporal,,
12,xgboost_ranker,,272,55,4.29,7.8169,4.29,51.84,58.46,51.84,7.8585,19.5877,-40.5156,100.0,4.29,21.216,0.9521,0.3996,1.0,0.9818,0.5782,0.9697,1.0,1.0,,monthly,2026-06
12,xgboost_ranker,,35,7,7.9738,11.6158,7.9738,68.57,57.14,68.57,5.0005,16.1436,-17.0784,100.0,7.9738,39.8688,0.8627,0.3164,1.0,0.9286,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
12,xgboost_ranker,,60,12,7.3025,12.3703,7.3025,66.67,60.0,66.67,5.9382,33.9197,-9.9589,100.0,7.3025,36.5124,0.9851,0.3196,1.0,0.9583,0.6,1.0,1.0,1.0,,weekly,2026-06-12
12,xgboost_ranker,,57,12,2.1412,4.127,2.1412,40.35,57.89,40.35,2.4501,5.7486,-19.7696,100.0,2.1412,10.1709,0.936,0.501,1.0,1.0,0.55,0.9444,1.0,1.0,,weekly,2026-06-13
12,xgboost_ranker,,60,12,2.6976,5.9548,2.6976,51.67,56.67,51.67,2.8386,4.8842,-40.5156,100.0,2.6976,13.4878,0.9752,0.4314,1.0,1.0,0.5667,0.9444,1.0,1.0,,weekly,2026-06-14
12,xgboost_ranker,,60,12,2.7624,6.5997,2.7624,38.33,60.0,38.33,2.1081,4.3823,-35.3374,100.0,2.7624,13.8122,0.9641,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
24,catboost_ranker,310,272,55,4.5513,7.4973,4.5513,52.21,59.56,52.21,8.5566,21.7413,-36.1746,100.0,4.5513,22.5084,0.9606,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0,blind_temporal,,
24,catboost_ranker,,272,55,4.5513,7.4973,4.5513,52.21,59.56,52.21,8.5566,21.7413,-36.1746,100.0,4.5513,22.5084,0.9606,0.3996,1.0,0.9909,0.5891,0.9879,1.0,1.0,,monthly,2026-06
24,catboost_ranker,,35,7,7.7772,12.1278,7.7772,68.57,57.14,68.57,4.8561,15.7579,-17.0784,100.0,7.7772,38.8858,0.8775,0.3164,1.0,1.0,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
