split,model,strategy,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split_type,fold_id
,extra_trees,,57,12,2.8565,4.5809,2.8565,35.09,49.12,35.09,3.8888,21.1831,-9.8825,100.0,2.8565,13.5682,0.71,1.0,0.75,0.7917,0.4667,0.8056,0.875,1.0,weekly,2026-06-13
,extra_trees,,60,12,2.9775,4.9174,2.9775,45.0,40.0,45.0,3.5118,6.3558,-37.1198,100.0,2.9775,14.8876,0.7423,1.0,0.75,0.6667,0.4,0.6667,0.8611,1.0,weekly,2026-06-14
,extra_trees,,60,12,4.3114,7.7818,4.3114,40.0,40.0,40.0,3.9663,12.0476,-26.0943,100.0,4.3114,21.557,0.6583,1.0,0.75,0.6667,0.4,0.6667,0.8438,0.9167,weekly,2026-06-15
walk_forward,extra_trees,,272,55,4.5107,6.9615,4.5107,47.43,38.97,47.43,9.3247,31.2625,-37.1198,100.0,4.5107,22.3076,0.6061,1.0,0.6727,0.6273,0.3855,0.6485,0.8076,0.9636,,
blind,logistic_top3,logistic_top3,272,55,4.2709,6.779,4.2709,51.84,58.09,51.84,7.9894,19.8466,-38.2464,100.0,4.2709,21.1214,0.8782,1.0,0.9636,0.9273,0.5745,0.9636,0.9788,1.0,,
,logistic_top3,,272,55,4.2709,6.779,4.2709,51.84,58.09,51.84,7.9894,19.8466,-38.2464,100.0,4.2709,21.1214,0.8782,1.0,0.9636,0.9273,0.5745,0.9636,0.9788,1.0,monthly,2026-06
,logistic_top3,,35,7,6.711,7.5911,6.711,65.71,51.43,65.71,3.9697,11.0078,-18.8435,100.0,6.711,33.5549,0.6813,1.0,0.7143,0.6429,0.5143,0.8571,0.8333,1.0,weekly,2026-06-11
,logistic_top3,,60,12,6.7432,11.3106,6.7432,65.0,56.67,65.0,5.4385,28.3617,-9.9589,100.0,6.7432,33.7162,0.8014,1.0,1.0,0.9167,0.5667,0.9444,1.0,1.0,weekly,2026-06-12
,logistic_top3,,57,12,2.833,3.7907,2.833,40.35,59.65,40.35,3.6041,11.746,-10.3206,100.0,2.833,13.4569,0.9314,1.0,1.0,1.0,0.5667,0.9722,1.0,1.0,weekly,2026-06-13
,logistic_top3,,60,12,2.8136,5.7713,2.8136,50.0,60.0,50.0,3.0044,5.1597,-38.2464,100.0,2.8136,14.0679,0.9573,1.0,1.0,1.0,0.6,1.0,1.0,1.0,weekly,2026-06-14
,logistic_top3,,60,12,3.1984,5.7698,3.1984,43.33,60.0,43.33,2.4668,5.0886,-28.0307,100.0,3.1984,15.992,0.9376,1.0,1.0,0.9583,0.6,1.0,1.0,1.0,weekly,2026-06-15
walk_forward,logistic_top3,,272,55,4.2709,6.779,4.2709,51.84,58.09,51.84,7.9894,19.8466,-38.2464,100.0,4.2709,21.1214,0.8782,1.0,0.9636,0.9273,0.5745,0.9636,0.9788,1.0,,
blind,ridge_return,ridge_return,272,55,4.8367,8.0855,4.8367,52.94,40.44,52.94,10.5306,33.1566,-29.3085,100.0,4.8367,23.9197,0.6413,1.0,0.8909,0.6909,0.4,0.6727,0.9288,1.0,,
,ridge_return,,272,55,4.8367,8.0855,4.8367,52.94,40.44,52.94,10.5306,33.1566,-29.3085,100.0,4.8367,23.9197,0.6413,1.0,0.8909,0.6909,0.4,0.6727,0.9288,1.0,monthly,2026-06
,ridge_return,,35,7,7.1207,10.113,7.1207,71.43,28.57,71.43,4.6702,17.5154,-13.2878,100.0,7.1207,35.6037,0.3814,1.0,0.5714,0.4286,0.2857,0.4762,0.6905,1.0,weekly,2026-06-11
,ridge_return,,60,12,6.2789,9.4807,6.2789,66.67,38.33,66.67,5.9508,32.0848,-9.9589,100.0,6.2789,31.3946,0.4942,1.0,0.9167,0.6667,0.3833,0.6389,0.9583,1.0,weekly,2026-06-12
,ridge_return,,57,12,3.4599,5.3572,3.4599,38.6,47.37,38.6,4.952,64.9974,-3.5216,100.0,3.4599,16.4345,0.7549,1.0,0.9167,0.7917,0.45,0.7778,0.9583,1.0,weekly,2026-06-13
,ridge_return,,60,12,3.2723,6.9769,3.2723,46.67,40.0,46.67,3.8522,6.9635,-29.3085,100.0,3.2723,16.3617,0.787,1.0,1.0,0.7917,0.4,0.6667,1.0,1.0,weekly,2026-06-14
,ridge_return,,60,12,4.9345,9.3446,4.9345,48.33,43.33,48.33,4.6784,14.701,-19.3594,100.0,4.9345,24.6725,0.6809,1.0,0.9167,0.6667,0.4333,0.7222,0.9375,1.0,weekly,2026-06-15
walk_forward,ridge_return,,272,55,4.8367,8.0855,4.8367,52.94,40.44,52.94,10.5306,33.1566,-29.3085,100.0,4.8367,23.9197,0.6413,1.0,0.8909,0.6909,0.4,0.6727,0.9288,1.0,,
blind,,current_search_a6,272,55,3.0968,5.1237,3.0968,43.01,42.28,43.01,5.2426,10.8686,-44.4555,100.0,3.0968,15.315,0.6414,1.0,0.7273,0.6,0.4182,0.703,0.8291,1.0,,
blind,,entry_score_top5,272,55,3.9123,6.0221,3.9123,49.26,39.34,49.26,7.083,14.5445,-52.6016,100.0,3.9123,19.3481,0.6134,1.0,0.7273,0.6273,0.3891,0.6545,0.839,0.9818,,
blind,,formula_league_v2,272,55,4.6707,7.5966,4.6707,50.37,37.13,50.37,10.0815,31.9111,-38.3219,100.0,4.6707,23.0988,0.5844,1.0,0.7818,0.6364,0.3673,0.6182,0.8667,0.9818,,
blind,,execution_score_proxy,272,55,2.4294,2.0736,2.4294,34.56,34.19,34.56,4.3914,8.7118,-72.8212,100.0,2.4294,12.0143,0.4879,1.0,0.3818,0.4273,0.3382,0.5697,0.6228,0.9273,,
