rule_id,rule_expr,direction,cluster_hint,act_bear_pct,n_bear,act_bull_pct,n_bull,act_sideway_pct,n_sideway,act_vol_low_volatility_pct,n_vol_low_volatility
EX_OR_E_pattern_confidence_lte_0.452425_E_rank_obs_return_top5_gte_0.25,(pattern_confidence <= 0.4524 OR rank_obs_return_top5 >= 0.25),long,discovered,75.0,4,76.92,13,75.0,4,76.19,21
EX_OR_E_pattern_confidence_lte_0.474463_E_rank_obs_return_top5_gte_0.125,(pattern_confidence <= 0.4745 OR rank_obs_return_top5 >= 0.125),long,discovered,75.0,4,76.92,13,75.0,4,76.19,21
EX_OR_E_pattern_confidence_lte_0.474463_E_rank_obs_return_top5_gte_0.25,(pattern_confidence <= 0.4745 OR rank_obs_return_top5 >= 0.25),long,discovered,75.0,4,76.92,13,75.0,4,76.19,21
EX_OR_E_obs_body_pct_gte_9.53875_E_rank_obs_return_top5_gte_0.125,(obs_body_pct >= 9.539 OR rank_obs_return_top5 >= 0.125),long,discovered,75.0,4,61.54,13,75.0,4,66.67,21
EX_OR_E_obs_body_pct_gte_9.53875_E_rank_obs_return_top5_gte_0.25,(obs_body_pct >= 9.539 OR rank_obs_return_top5 >= 0.25),long,discovered,75.0,4,61.54,13,75.0,4,66.67,21
EX_OR_E_obs_body_pct_gte_11.448538_E_rank_obs_return_top5_gte_0.125,(obs_body_pct >= 11.45 OR rank_obs_return_top5 >= 0.125),long,discovered,75.0,4,61.54,13,75.0,4,66.67,21
EX_OR_E_obs_body_pct_gte_11.448538_E_rank_obs_return_top5_gte_0.25,(obs_body_pct >= 11.45 OR rank_obs_return_top5 >= 0.25),long,discovered,75.0,4,61.54,13,75.0,4,66.67,21
EX_0,direction_confidence >= 0.7824,long,mined_pool,50.0,4,61.54,13,25.0,4,52.38,21
EX_1,direction_confidence >= 0.8912,long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_0,direction_confidence >= 1,short,mined_pool,50.0,6,38.46,13,60.0,5,45.83,24
EX_3,obs_low_pct >= -2.914,long,mined_pool,50.0,4,61.54,13,50.0,4,57.14,21
EX_4,execution_score >= -0.2779,long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_5,(obs_return_pct - gap_to_best_entry) >= -5.877,long,mined_pool,50.0,4,69.23,13,50.0,4,61.9,21
EX_6,pattern_confidence <= 0.4524,long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_7,pattern_confidence <= 0.4745,long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_8,obs_body_pct >= 9.539,long,mined_pool,50.0,4,23.08,13,50.0,4,33.33,21
EX_9,obs_body_pct >= 11.45,long,mined_pool,50.0,4,15.38,13,50.0,4,28.57,21
EX_10,direction_confidence >= 0.5648,long,mined_pool,75.0,4,61.54,13,25.0,4,57.14,21
EX_11,direction_confidence >= 0.6736,long,mined_pool,75.0,4,61.54,13,25.0,4,57.14,21
EX_23,obs_range_pct >= 16.45,long,mined_pool,50.0,4,7.69,13,75.0,4,28.57,21
EX_24,atr_increase_ratio >= 0.6759,long,mined_pool,50.0,4,7.69,13,75.0,4,28.57,21
EX_17,top5_rank <= 1,short,mined_pool,50.0,6,53.85,13,80.0,5,58.33,24
EX_18,top5_rank <= 1.125,short,mined_pool,50.0,6,53.85,13,80.0,5,58.33,24
EX_19,top5_rank <= 1.25,short,mined_pool,50.0,6,53.85,13,80.0,5,58.33,24
EX_20,top5_rank <= 1.375,short,mined_pool,50.0,6,53.85,13,80.0,5,58.33,24
EX_21,top5_rank <= 1.5,short,mined_pool,50.0,6,53.85,13,80.0,5,58.33,24
EX_AND_E_direction_confidence_gte_0.7824_E_direction_confidence_gte_0.8912,(direction_confidence >= 0.7824 AND direction_confidence >= 0.8912),long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_AND_E_direction_confidence_gte_0.7824_E_direction_confidence_gte_1.0,(direction_confidence >= 0.7824 AND direction_confidence >= 1),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.7824_E_obs_low_pct_gte_-2.914012,(direction_confidence >= 0.7824 AND obs_low_pct >= -2.914),long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_AND_E_direction_confidence_gte_0.7824_E_execution_score_gte_-0.27795,(direction_confidence >= 0.7824 AND execution_score >= -0.2779),long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_AND_E_direction_confidence_gte_0.7824_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,(direction_confidence >= 0.7824 AND (obs_return_pct - gap_to_best_entry) >= -5.877),long,mined_pool,50.0,4,61.54,13,25.0,4,52.38,21
EX_AND_E_direction_confidence_gte_0.7824_E_pattern_confidence_lte_0.452425,(direction_confidence >= 0.7824 AND pattern_confidence <= 0.4524),long,mined_pool,25.0,4,46.15,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.7824_E_pattern_confidence_lte_0.474463,(direction_confidence >= 0.7824 AND pattern_confidence <= 0.4745),long,mined_pool,25.0,4,46.15,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.7824_E_obs_body_pct_gte_9.53875,(direction_confidence >= 0.7824 AND obs_body_pct >= 9.539),long,mined_pool,25.0,4,7.69,13,25.0,4,14.29,21
EX_AND_E_direction_confidence_gte_0.7824_E_obs_body_pct_gte_11.448538,(direction_confidence >= 0.7824 AND obs_body_pct >= 11.45),long,mined_pool,25.0,4,7.69,13,25.0,4,14.29,21
EX_AND_E_direction_confidence_gte_0.7824_E_direction_confidence_gte_0.5648,(direction_confidence >= 0.7824 AND direction_confidence >= 0.5648),long,mined_pool,50.0,4,61.54,13,25.0,4,52.38,21
EX_AND_E_direction_confidence_gte_0.7824_E_direction_confidence_gte_0.6736,(direction_confidence >= 0.7824 AND direction_confidence >= 0.6736),long,mined_pool,50.0,4,61.54,13,25.0,4,52.38,21
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.125),long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.25),long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.375,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.375),long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.5,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.5),long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.625,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.625),long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.75,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.75),long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_AND_E_direction_confidence_gte_0.8912_E_direction_confidence_gte_1.0,(direction_confidence >= 0.8912 AND direction_confidence >= 1),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.8912_E_obs_low_pct_gte_-2.914012,(direction_confidence >= 0.8912 AND obs_low_pct >= -2.914),long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_AND_E_direction_confidence_gte_0.8912_E_execution_score_gte_-0.27795,(direction_confidence >= 0.8912 AND execution_score >= -0.2779),long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_AND_E_direction_confidence_gte_0.8912_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,(direction_confidence >= 0.8912 AND (obs_return_pct - gap_to_best_entry) >= -5.877),long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_AND_E_direction_confidence_gte_0.8912_E_pattern_confidence_lte_0.452425,(direction_confidence >= 0.8912 AND pattern_confidence <= 0.4524),long,mined_pool,25.0,4,46.15,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.8912_E_pattern_confidence_lte_0.474463,(direction_confidence >= 0.8912 AND pattern_confidence <= 0.4745),long,mined_pool,25.0,4,46.15,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.8912_E_obs_body_pct_gte_9.53875,(direction_confidence >= 0.8912 AND obs_body_pct >= 9.539),long,mined_pool,25.0,4,7.69,13,25.0,4,14.29,21
EX_AND_E_direction_confidence_gte_0.8912_E_obs_body_pct_gte_11.448538,(direction_confidence >= 0.8912 AND obs_body_pct >= 11.45),long,mined_pool,25.0,4,7.69,13,25.0,4,14.29,21
EX_AND_E_direction_confidence_gte_0.8912_E_direction_confidence_gte_0.5648,(direction_confidence >= 0.8912 AND direction_confidence >= 0.5648),long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_AND_E_direction_confidence_gte_0.8912_E_direction_confidence_gte_0.6736,(direction_confidence >= 0.8912 AND direction_confidence >= 0.6736),long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.125),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.25),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.375,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.375),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.5,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.5),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.625,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.625),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.75,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.75),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_1.0_E_obs_low_pct_gte_-2.914012,(direction_confidence >= 1 AND obs_low_pct >= -2.914),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_1.0_E_execution_score_gte_-0.27795,(direction_confidence >= 1 AND execution_score >= -0.2779),long,mined_pool,50.0,4,30.77,13,25.0,4,33.33,21
