rule_id,rule_expr,direction,source,status_tags,discovery_decision,trade_count,scan_groups,coverage_pct,precision_pct,avg_return_2h,win_rate_pct,max_drawdown,return_per_day,sharpe,best_regime,worst_regime,volatility_preference,trend_preference,time_preference,blind_avg,train_avg
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.5),long,train_rank,candidate|rank_only,,21,12,46.15,61.9,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.625),long,train_rank,rank_only,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.25_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.25 AND rank_obs_return_top5 >= 0.75),long,train_rank,rank_only,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.5,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.5),long,train_rank,candidate|rank_only,,21,12,46.15,61.9,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,14.3148,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.625),long,train_rank,rank_only,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.75),long,train_rank,rank_only,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.5_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.5 AND rank_obs_return_top5 >= 0.625),long,train_rank,rank_only,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.5_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.5 AND rank_obs_return_top5 >= 0.75),long,train_rank,rank_only,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_AND_E_rank_obs_return_top5_gte_0.625_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.625 AND rank_obs_return_top5 >= 0.75),long,train_rank,rank_only,,21,12,46.15,57.14,4.8745,47.62,-74.4342,14.6234,0.9201,bull,sideway,low_volatility,bull,asia,,0.8397
EX_OR_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 1 OR rank_obs_return_top5 >= 0.125),long,train_rank,momentum_hybrid,,21,12,46.15,66.67,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,,0.8397
EX_OR_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 1 OR rank_obs_return_top5 >= 0.25),long,train_rank,momentum_hybrid,,21,12,46.15,66.67,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,,0.8397
EX_OR_E_pattern_confidence_lte_0.452425_E_rank_obs_return_top5_gte_0.125,(pattern_confidence <= 0.4524 OR rank_obs_return_top5 >= 0.125),long,train_rank,discovered,,21,12,46.15,76.19,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,,0.8397
EX_OR_E_pattern_confidence_lte_0.452425_E_rank_obs_return_top5_gte_0.25,(pattern_confidence <= 0.4524 OR rank_obs_return_top5 >= 0.25),long,train_rank,discovered,,21,12,46.15,76.19,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,,0.8397
EX_OR_E_pattern_confidence_lte_0.474463_E_rank_obs_return_top5_gte_0.125,(pattern_confidence <= 0.4745 OR rank_obs_return_top5 >= 0.125),long,train_rank,discovered,,21,12,46.15,76.19,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,,0.8397
EX_OR_E_pattern_confidence_lte_0.474463_E_rank_obs_return_top5_gte_0.25,(pattern_confidence <= 0.4745 OR rank_obs_return_top5 >= 0.25),long,train_rank,discovered,,21,12,46.15,76.19,5.8078,47.62,-74.4342,17.4234,1.1449,bull,sideway,low_volatility,bull,asia,,0.8397
EX_OR_E_obs_body_pct_gte_9.53875_E_rank_obs_return_top5_gte_0.125,(obs_body_pct >= 9.539 OR rank_obs_return_top5 >= 0.125),long,train_rank,discovered,,21,12,46.15,66.67,4.8528,47.62,-74.4342,14.5584,0.9152,bull,sideway,low_volatility,bull,asia,,0.8397
