rule_id,rule_expr,scope,signal_count,pass_count,fail_count,precision,recall,f1,lift,odds_ratio,avg_return_2h,avg_return_4h,win_rate_pct,pass_scan_count,total_scan_count,pass_per_scan,pass_per_day,trade_frequency_pct,direction,live_score,v1_precision_baseline,live_pattern
AND_ABD,(A AND B AND D),short_SHORT_BREAKDOWN,199,11,188,0.9091,0.1754,0.2941,3.1738,30.0,19.943,20.316,90.91,11,110,0.1,0.7333,5.53,short,0.3795,,SHORT_BREAKDOWN
OR_AC_BD,((A AND C) OR (B AND D)),short_SHORT_BREAKDOWN,199,11,188,0.9091,0.1754,0.2941,3.1738,30.0,19.943,20.316,90.91,11,110,0.1,0.7333,5.53,short,0.3795,,SHORT_BREAKDOWN
OR_AD_BC,((A AND D) OR (B AND C)),short_SHORT_BREAKDOWN,199,11,188,0.9091,0.1754,0.2941,3.1738,30.0,19.943,20.316,90.91,11,110,0.1,0.7333,5.53,short,0.3795,,SHORT_BREAKDOWN
AND_C,C,short_all,897,16,881,0.9375,0.0838,0.1538,4.698,65.5793,19.3033,20.0039,100.0,15,180,0.0889,1.0667,1.78,short,0.3788,1.0,
AND_D,D,short_SHORT_CONTINUATION,102,4,98,1.0,0.2222,0.3636,5.6667,24.0,13.4192,13.8666,100.0,4,84,0.0476,0.2667,3.92,short,0.3767,,SHORT_CONTINUATION
OR_ABC_D,((A AND B AND C) OR D),short_SHORT_CONTINUATION,102,4,98,1.0,0.2222,0.3636,5.6667,24.0,13.4192,13.8666,100.0,4,84,0.0476,0.2667,3.92,short,0.3767,,SHORT_CONTINUATION
OR_AB_C_D,((A AND B) OR C OR D),short_SHORT_CONTINUATION,102,4,98,1.0,0.2222,0.3636,5.6667,24.0,13.4192,13.8666,100.0,4,84,0.0476,0.2667,3.92,short,0.3767,,SHORT_CONTINUATION
OR_AC_B_D,((A AND C) OR B OR D),short_SHORT_CONTINUATION,102,4,98,1.0,0.2222,0.3636,5.6667,24.0,13.4192,13.8666,100.0,4,84,0.0476,0.2667,3.92,short,0.3767,,SHORT_CONTINUATION
OR_A_BC_D,(A OR (B AND C) OR D),short_SHORT_CONTINUATION,102,4,98,1.0,0.2222,0.3636,5.6667,24.0,13.4192,13.8666,100.0,4,84,0.0476,0.2667,3.92,short,0.3767,,SHORT_CONTINUATION
OR_A_B_C_D,(A OR B OR C OR D),short_SHORT_CONTINUATION,102,4,98,1.0,0.2222,0.3636,5.6667,24.0,13.4192,13.8666,100.0,4,84,0.0476,0.2667,3.92,short,0.3767,,SHORT_CONTINUATION
AND_AD,(A AND D),short_SHORT_REVERSAL,388,9,379,1.0,0.1406,0.2466,6.0625,53.0182,19.3502,28.1859,100.0,7,165,0.0545,0.6,2.32,short,0.3733,,SHORT_REVERSAL
AND_ABD,(A AND B AND D),short_SHORT_REVERSAL,388,9,379,1.0,0.1406,0.2466,6.0625,53.0182,19.3502,28.1859,100.0,7,165,0.0545,0.6,2.32,short,0.3733,,SHORT_REVERSAL
OR_AD_BC,((A AND D) OR (B AND C)),short_SHORT_REVERSAL,388,9,379,1.0,0.1406,0.2466,6.0625,53.0182,19.3502,28.1859,100.0,7,165,0.0545,0.6,2.32,short,0.3733,,SHORT_REVERSAL
AND_CD,(C AND D),short_SHORT_BREAKDOWN,199,8,191,1.0,0.1404,0.2462,3.4912,23.1837,20.1782,20.7785,100.0,8,110,0.0727,0.5333,4.02,short,0.3665,,SHORT_BREAKDOWN
AND_BC,(B AND C),long_all,897,12,885,1.0,0.067,0.1257,5.0112,51.5928,28.6012,27.7948,100.0,12,180,0.0667,0.8,1.34,long,0.3601,1.0,
AND_CD,(C AND D),short_all,897,12,885,1.0,0.067,0.1257,5.0112,51.5928,22.3404,24.1294,100.0,11,180,0.0667,0.8,1.34,short,0.3601,1.0,
AND_AC,(A AND C),short_SHORT_BREAKDOWN,199,7,192,1.0,0.1228,0.2188,3.4912,19.88,22.0937,23.2058,100.0,7,110,0.0636,0.4667,3.52,short,0.3519,,SHORT_BREAKDOWN
AND_BC,(B AND C),short_SHORT_BREAKDOWN,199,7,192,1.0,0.1228,0.2188,3.4912,19.88,22.0937,23.2058,100.0,7,110,0.0636,0.4667,3.52,short,0.3519,,SHORT_BREAKDOWN
AND_ABC,(A AND B AND C),short_SHORT_BREAKDOWN,199,7,192,1.0,0.1228,0.2188,3.4912,19.88,22.0937,23.2058,100.0,7,110,0.0636,0.4667,3.52,short,0.3519,,SHORT_BREAKDOWN
AND_ACD,(A AND C AND D),short_SHORT_BREAKDOWN,199,7,192,1.0,0.1228,0.2188,3.4912,19.88,22.0937,23.2058,100.0,7,110,0.0636,0.4667,3.52,short,0.3519,,SHORT_BREAKDOWN
AND_BCD,(B AND C AND D),short_SHORT_BREAKDOWN,199,7,192,1.0,0.1228,0.2188,3.4912,19.88,22.0937,23.2058,100.0,7,110,0.0636,0.4667,3.52,short,0.3519,,SHORT_BREAKDOWN
AND_ABCD,(A AND B AND C AND D),short_SHORT_BREAKDOWN,199,7,192,1.0,0.1228,0.2188,3.4912,19.88,22.0937,23.2058,100.0,7,110,0.0636,0.4667,3.52,short,0.3519,,SHORT_BREAKDOWN
AND_AC,(A AND C),long_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,28.8611,28.7559,100.0,11,180,0.0611,0.7333,1.23,long,0.351,1.0,
AND_ABC,(A AND B AND C),long_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,28.8611,28.7559,100.0,11,180,0.0611,0.7333,1.23,long,0.351,1.0,
AND_ACD,(A AND C AND D),long_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,28.8611,28.7559,100.0,11,180,0.0611,0.7333,1.23,long,0.351,1.0,
AND_BCD,(B AND C AND D),long_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,28.8611,28.7559,100.0,11,180,0.0611,0.7333,1.23,long,0.351,1.0,
AND_ABCD,(A AND B AND C AND D),long_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,28.8611,28.7559,100.0,11,180,0.0611,0.7333,1.23,long,0.351,1.0,
AND_AC,(A AND C),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0,
AND_BC,(B AND C),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0,
AND_ABC,(A AND B AND C),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0,
AND_ACD,(A AND C AND D),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0,
AND_BCD,(B AND C AND D),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0,
AND_ABCD,(A AND B AND C AND D),short_all,897,11,886,1.0,0.0615,0.1158,5.0112,47.0119,23.7559,25.9786,100.0,10,180,0.0611,0.7333,1.23,short,0.351,1.0,
AND_CD,(C AND D),long_all,897,13,884,0.9231,0.067,0.125,4.6257,51.521,25.604,23.543,92.31,13,180,0.0722,0.8667,1.45,long,0.3476,1.0,
AND_A,A,short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
AND_B,B,short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
AND_AB,(A AND B),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
AND_AD,(A AND D),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
AND_BD,(B AND D),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
