direction,engine,scan_time_kst,symbol,rank_metric,return_30m,return_1h,return_2h,return_4h,label_trap,label_big_winner,feat_5m_volume_ma_ratio,feat_5m_seq_volume_energy_6,feat_5m_seq_return_sum_6,feat_5m_seq_body_energy_6,feat_5m_seq_positive_count_6,feat_5m_first_abnormal_candle_6,feat_5m_compression,feat_5m_release,feat_5m_body_position,feat_5m_range_energy,feat_5m_momentum,feat_15m_current_volume_ratio,feat_15m_current_return_pct,feat_15m_current_body_pct,feat_15m_current_close_position,feat_15m_current_range_pct,feat_15m_current_compression,feat_15m_current_ma20_distance_pct,feat_15m_previous_volume_ratio,feat_15m_previous_return_pct,feat_15m_previous_body_pct,feat_15m_previous_close_position,feat_15m_previous_range_pct,feat_15m_previous_compression,feat_15m_previous_ma20_distance_pct,feat_30m_current_volume_ratio,feat_30m_current_return_pct,feat_30m_current_body_pct,feat_30m_current_close_position,feat_30m_current_range_pct,feat_30m_current_compression,feat_30m_current_ma20_distance_pct,feat_30m_previous_volume_ratio,feat_30m_previous_return_pct,feat_30m_previous_body_pct,feat_30m_previous_close_position,feat_30m_previous_range_pct,feat_30m_previous_compression,feat_30m_previous_ma20_distance_pct,feat_1h_current_volume_ratio,feat_1h_current_return_pct,feat_1h_current_body_pct,feat_1h_current_close_position,feat_1h_current_range_pct,feat_1h_current_compression,feat_1h_current_ma20_distance_pct,feat_1h_previous_volume_ratio,feat_1h_previous_return_pct,feat_1h_previous_body_pct,feat_1h_previous_close_position,feat_1h_previous_range_pct,feat_1h_previous_compression,feat_1h_previous_ma20_distance_pct,feat_2h_current_volume_ratio,feat_2h_current_return_pct,feat_2h_current_body_pct,feat_2h_current_close_position,feat_2h_current_range_pct,feat_2h_current_compression,feat_2h_current_ma20_distance_pct,feat_2h_previous_volume_ratio,feat_2h_previous_return_pct,feat_2h_previous_body_pct,feat_2h_previous_close_position,feat_2h_previous_range_pct,feat_2h_previous_compression,feat_2h_previous_ma20_distance_pct,feat_h4_score,feat_price
short,SHORT_CONTINUATION,2026-06-12 00:00:00,BTWUSDT,return_2h,2.0365,3.2352,-1.4081,16.6764,False,True,0.5811,8.513,6.6828,5.8057,4.0,1.0,0.0,0.0,0.8837,31.9722,0.8290080738177578,0.6837,-2.5369,2.5369,0.115,4.3524,0.0,-5.2934,0.5771,1.4158,1.4158,0.8234,4.1411,0.0,-3.1693,0.5284,-2.0365,2.0365,0.2299,4.3524,0.0,-1.7633,1.1227,3.7287,3.7287,0.9105,8.3625,0.0,1.2253,0.3316,-3.2352,3.2352,0.202,5.7023,0.0,2.3567,0.9065,-6.2391,6.2391,0.4861,14.1579,0.0,5.7007,0.3449,-9.3041,9.3041,0.2696,14.1579,0.0,-3.911,0.4681,4.988,4.988,0.3248,15.6389,0.0,5.33,-13.540437784193212,0.08375
short,SHORT_CONTINUATION,2026-06-12 00:00:00,GUAUSDT,return_2h,1.5622,3.5054,2.4195,4.3818,False,False,3.4952,1.1035,-1.4715,0.9746,3.0,1.0,0.0,0.0,0.2589,1.7435,0.7290400972053588,1.4833,-1.5813,1.5813,0.2045,2.5148,0.0,-2.0654,1.0035,-1.5379,1.5379,0.0,2.2693,3.0,-0.5117,0.5827,-1.5622,1.5622,0.2121,2.5148,0.0,-1.7606,0.5291,-0.681,0.681,0.0,2.2891,0.0,-0.3086,0.5104,-3.5054,3.5054,0.1004,4.3627,0.0,-0.4149,0.3882,1.2146,1.2146,0.3529,3.6052,0.0,3.5462,0.1838,-2.352,2.352,0.0699,6.3428,0.0,-4.6956,0.1965,-2.6627,2.6627,0.2848,5.6629,0.0,-3.0924,-1.9401759889491832,0.5166
short,SHORT_CONTINUATION,2026-06-12 02:00:00,BTWUSDT,return_2h,3.2713,7.1281,17.8145,3.4894,False,True,1.6212,18.5097,2.5905,6.1887,4.0,1.0,0.0,0.0,0.1142,40.1802,0.9186415831908169,0.6101,-3.6616,3.6616,0.2358,4.8669,0.0,-3.2792,0.762,7.4608,7.4608,0.9843,7.8431,0.0,0.0448,0.4643,-3.2713,3.2713,0.3856,5.4178,0.0,-2.8655,0.6722,7.5935,7.5935,0.9869,9.4456,0.0,0.5272,0.317,-7.1281,7.1281,0.1133,8.1038,0.0,-1.0892,0.4104,4.7482,4.7482,0.9869,9.1958,0.0,7.0273,0.2094,-2.7407,2.7407,0.1725,9.1958,0.0,-4.0238,0.3449,-9.3041,9.3041,0.2696,14.1579,0.0,-3.911,-5.139886600158182,0.08393
short,SHORT_CONTINUATION,2026-06-12 02:00:00,LABUSDT,return_2h,1.8519,2.7888,8.0357,7.8814,False,True,1.6303,3.3135,-4.8465,1.4422,3.0,1.0,0.0,0.0,0.9598,10.0036,0.23255326726866768,0.9522,-0.8377,0.8377,0.4199,4.8832,0.0,-1.5706,1.6292,-7.3223,7.3223,0.2761,12.02,0.0,-0.0573,1.069,-1.8519,1.8519,0.2122,4.8832,0.0,5.2395,1.5407,-7.3601,7.3601,0.2761,12.0151,0.0,8.2677,1.1627,-2.7888,2.7888,0.2166,6.1067,0.0,8.5856,1.8166,-4.1103,4.1103,0.2761,12.4366,0.0,12.1845,1.7197,-6.8153,6.8153,0.0977,12.9755,0.0,6.6881,1.7425,8.2961,8.2961,0.7205,12.3241,0.0,14.3734,-1.1126983828399273,8.996
short,SHORT_CONTINUATION,2026-06-12 02:00:00,BILLUSDT,return_2h,1.4,1.8375,3.3251,0.3354,False,False,3.9119,5.9001,0.8085,1.9464,3.0,1.0,0.0,0.0,0.0593,3.9329,3.6645567703443342,2.354,-1.2542,1.2542,0.25,2.2167,1.0,3.0296,2.1774,-0.0292,0.0292,0.3333,1.8805,0.0,4.6647,1.7649,-1.4,1.4,0.4312,3.1792,0.0,4.8063,1.9602,3.2831,3.2831,0.7329,4.8494,2.0,6.7634,1.6043,-1.8375,1.8375,0.2936,3.1792,0.0,4.6177,1.5352,4.4472,4.4472,0.7892,6.2138,0.0,6.9315,1.8444,2.5129,2.5129,0.4779,6.2138,0.0,2.2622,1.497,1.1707,1.1707,0.4522,3.5428,0.0,-0.5617,-1.6674063032833955,0.06771
short,SHORT_CONTINUATION,2026-06-12 02:00:00,KITEUSDT,return_2h,1.5048,1.6181,1.4687,1.412,False,False,0.7319,0.3247,0.1708,0.1066,4.0,1.0,6.0,0.0,0.3117,0.2921,0.6265781352286464,0.9158,-1.2677,1.2677,0.0,1.7573,8.0,1.8216,0.7493,0.3828,0.3828,0.7833,0.9311,7.0,3.303,1.2328,-1.5048,1.5048,0.2951,2.8292,2.0,2.8878,1.0655,1.094,1.094,0.8587,1.4379,1.0,4.8437,1.5349,-1.6181,1.6181,0.2657,2.8704,0.0,4.8156,2.2227,0.8523,0.8523,0.9056,2.1465,0.0,7.0382,2.2556,-0.7796,0.7796,0.2657,2.8949,0.0,6.2964,1.99,3.2795,3.2795,0.9921,4.7448,0.0,7.4024,-11.910636381211324,0.19159
short,SHORT_CONTINUATION,2026-06-12 02:00:00,BEATUSDT,return_2h,1.7627,0.9227,2.2772,-0.124,False,True,1.5924,2.2498,-2.3578,0.6912,2.0,1.0,0.0,0.0,0.494,5.5138,0.13848671786478647,1.4179,-2.177,2.177,0.6118,6.1807,0.0,1.6226,1.1781,-0.3521,0.3521,0.4775,4.1504,0.0,4.2104,1.2043,-1.7627,1.7627,0.6789,6.1807,0.0,6.0169,1.1437,0.3505,0.3505,0.4775,4.1796,0.0,8.2702,0.847,-0.9227,0.9227,0.6981,7.2139,0.0,14.3617,1.1252,3.2,3.2,0.6404,6.2443,0.0,16.5833,0.9795,2.251,2.251,0.6193,8.3919,0.0,35.589,1.0151,0.2694,0.2694,0.6441,8.1378,0.0,37.2398,-1.9585230310891464,9.4678
short,SHORT_CONTINUATION,2026-06-12 04:00:00,EPICUSDT,return_2h,5.1804,7.0431,6.5047,6.3446,False,True,0.4074,0.3322,-0.6276,0.4321,3.0,1.0,5.0,0.0,0.6471,0.5812,-0.06097206898553742,1.0715,-0.7276,0.7276,0.1721,3.1286,2.0,0.475,0.3484,-0.1887,0.1887,0.7451,0.7402,1.0,1.3156,1.7875,-5.1804,5.1804,0.2256,9.0949,1.0,0.4145,0.4396,0.4381,0.4381,0.3016,1.8402,0.0,6.5912,1.8986,-7.0431,7.0431,0.0741,9.6187,0.0,6.1844,1.1969,-0.7075,0.7075,0.5359,3.4219,0.0,15.3636,1.5667,-7.7678,7.7678,0.0741,9.5437,0.0,13.4716,1.6068,3.3119,3.3119,0.8952,5.5498,0.0,24.3212,-14.817291221067906,0.6822
short,SHORT_CONTINUATION,2026-06-12 04:00:00,VELVETUSDT,return_2h,6.7574,1.0504,-19.4342,-21.0475,True,True,1.1354,25.3734,9.6571,11.5229,3.0,1.0,0.0,0.0,0.1511,160.3549,11.140565465313703,1.1218,-1.2799,1.2799,0.5036,7.2531,0.0,32.3505,1.7907,9.6819,9.6819,0.7162,15.8535,0.0,37.2848,1.2912,-6.7574,6.7574,0.1224,10.3443,0.0,36.4147,1.6879,15.5376,15.5376,0.7878,22.3291,0.0,49.8463,0.9961,-1.0504,1.0504,0.6741,10.3443,0.0,44.5662,1.7168,24.3943,24.3943,0.8282,29.7023,0.0,49.4208,1.4933,23.1476,23.1476,0.7862,29.7023,0.0,83.7852,1.1578,24.7738,24.7738,0.9159,28.7486,0.0,59.6929,-7.581555232519727,1.32052
short,SHORT_CONTINUATION,2026-06-12 04:00:00,AIOUSDT,return_2h,3.9387,1.2478,3.591,6.339,False,True,0.4409,1.71,-5.3257,1.089,2.0,0.0,0.0,0.0,0.2864,7.2922,-6.326780221954421,0.7992,-6.4009,6.4009,0.2426,8.5774,0.0,-4.9703,0.8461,1.5867,1.5867,0.8229,6.1726,0.0,1.8928,0.7509,-3.9387,3.9387,0.6111,10.3729,0.0,3.8462,1.0338,-1.1346,1.1346,0.6153,11.4543,0.0,7.9192,0.6365,-1.2478,1.2478,0.8165,11.0587,0.0,6.442,1.1068,-1.6393,1.6393,0.3498,20.0422,0.0,9.5687,1.7348,-2.8806,2.8806,0.3836,23.1522,0.0,30.1628,2.285,0.4565,0.4565,0.3603,15.4516,0.0,38.2697,-8.432432486752708,0.19653
short,SHORT_CONTINUATION,2026-06-12 04:00:00,SKYAIUSDT,return_2h,3.654,2.9286,2.5989,0.9969,False,True,0.7957,3.2939,-0.4171,1.3855,1.0,1.0,0.0,0.0,0.3875,7.7273,1.0514486888324879,0.8186,-2.2964,2.2964,0.3088,4.422,0.0,4.8057,0.75,0.8532,0.8532,0.4322,3.6946,0.0,7.6202,0.7356,-3.654,3.654,0.1724,5.3336,0.0,5.9497,0.6493,0.7231,0.7231,0.4796,4.026,0.0,10.9103,0.7526,-2.9286,2.9286,0.3084,5.3336,0.0,16.942,0.8458,3.3323,3.3323,0.6635,6.3878,0.0,22.6491,0.9762,0.3489,0.3489,0.2488,6.8329,0.0,30.9531,1.7342,9.985,9.985,0.7627,14.4615,0.0,33.3376,-24.83098852860586,0.25188
short,SHORT_CONTINUATION,2026-06-12 04:00:00,GWEIUSDT,return_2h,2.0228,2.8075,4.5745,4.1676,False,True,0.5987,0.3713,0.1433,0.4189,3.0,1.0,15.0,0.0,0.2385,0.6057,0.06533355111183761,0.5257,-1.6217,1.6217,0.0321,1.8135,5.0,-0.709,0.2762,0.626,0.626,0.6571,1.2285,4.0,0.9265,0.6723,-2.0228,2.0228,0.2824,3.0051,2.0,-0.8447,0.3462,0.6083,0.6083,0.6757,1.2985,1.0,1.1541,0.5802,-2.8075,2.8075,0.063,3.1388,1.0,-2.2612,0.4614,-0.3303,0.3303,0.5,1.7383,0.0,0.3041,0.4528,-3.1116,3.1116,0.0512,3.8475,0.0,-3.5147,1.5301,3.5395,3.5395,0.5283,6.893,0.0,-0.4849,-21.19703032763939,0.16925
short,SHORT_CONTINUATION,2026-06-12 06:00:00,VELVETUSDT,return_2h,12.4545,12.7217,-1.3267,-7.8286,True,True,0.6496,1.6151,-10.4694,0.9946,1.0,1.0,0.0,0.0,0.0261,11.6514,6.1684286322128825,0.6067,-3.1146,3.1146,0.1942,5.5658,0.0,25.256,0.8931,-3.6488,3.6488,0.3672,8.8041,0.0,32.5397,0.839,-12.4545,12.4545,0.1962,18.3413,0.0,32.3337,1.1624,-8.1031,8.1031,0.254,12.1371,0.0,55.4039,0.9036,-12.7217,12.7217,0.4027,25.128,0.0,43.0346,1.4074,20.6692,20.6692,0.6368,32.7308,0.0,68.1509,1.2282,5.3431,5.3431,0.3098,39.4275,0.0,81.2451,1.4933,23.1476,23.1476,0.7862,29.7023,0.0,83.7852,-11.933356192703059,1.54821
short,SHORT_CONTINUATION,2026-06-12 06:00:00,FOLKSUSDT,return_2h,2.455,4.2144,2.7005,10.4337,False,True,3.0782,3.9267,1.1338,1.6268,3.0,1.0,0.0,0.0,0.3864,5.9403,1.7501256071009812,1.714,-2.1686,2.1686,0.2019,4.2553,0.0,0.0774,1.5336,1.8333,1.8333,0.5213,3.9167,1.0,2.3044,0.9584,-2.455,2.455,0.2913,5.1964,0.0,-0.6646,0.7843,1.2428,1.2428,0.5588,4.2254,0.0,1.7867,0.5768,-4.2144,4.2144,0.2083,6.874,0.0,-0.643,0.5462,1.3267,1.3267,0.6875,5.9701,0.0,3.3491,0.376,-2.9436,2.9436,0.1913,7.5871,0.0,3.7654,0.442,1.3445,1.3445,0.6533,8.3613,0.0,7.9002,-1.3029035972774126,2.391
short,SHORT_CONTINUATION,2026-06-12 06:00:00,BTWUSDT,return_2h,2.1304,4.6775,-0.5594,6.3318,False,True,0.3898,3.0508,-1.2296,3.726,3.0,0.0,0.0,0.0,0.1779,14.303,-3.9295738708854326,0.4009,-1.94,1.94,0.4179,3.3325,0.0,2.1056,0.8867,0.502,0.502,0.8692,4.6617,0.0,4.2471,0.307,-2.1304,2.1304,0.3993,3.5468,0.0,-1.8595,0.7316,-0.6616,0.6616,0.837,4.785,0.0,0.0583,0.2478,-4.6775,4.6775,0.1709,5.6415,0.0,-2.5794,1.1338,5.0606,5.0606,0.3628,14.3946,0.0,2.3487,0.4218,0.075,0.075,0.0667,15.1693,0.0,-3.9504,0.3486,-1.0754,1.0754,0.8727,12.7194,0.0,-4.4931,-17.270056026545486,0.08239
short,SHORT_CONTINUATION,2026-06-12 06:00:00,CLOUSDT,return_2h,1.5918,1.392,-0.333,1.9582,True,False,0.6269,23.4348,2.6126,5.0535,2.0,1.0,0.0,0.0,0.5429,54.1531,2.429450169967082,0.9058,2.1513,2.1513,0.6592,3.8497,0.0,-1.632,1.2214,-3.9288,3.9288,0.1196,5.5093,0.0,-3.8473,0.704,-1.5918,1.5918,0.0091,5.1019,0.0,-4.3005,1.9882,2.7371,2.7371,0.3683,9.0119,0.0,-2.8305,0.3315,-1.392,1.392,0.2033,6.0943,0.0,-1.518,1.5417,-4.7093,4.7093,0.5015,10.5928,0.0,0.4076,1.5462,-6.0358,6.0358,0.3763,10.5928,0.0,12.3762,0.6025,-0.5115,0.5115,0.2288,3.6436,0.0,21.3346,-7.647066446713015,0.15337
short,SHORT_CONTINUATION,2026-06-12 06:00:00,LUMIAUSDT,return_2h,1.229,0.8806,-1.0161,0.2322,True,False,0.5981,1.2942,-1.5069,0.9913,3.0,1.0,0.0,0.0,0.5244,6.5295,-3.622159090909095,1.051,-2.8063,2.8063,0.2505,4.6352,0.0,10.0477,1.0776,-1.1951,1.1951,0.5504,3.7002,0.0,14.5549,1.4015,-1.229,1.229,0.5908,4.6352,0.0,18.6343,2.5558,-2.0288,2.0288,0.3004,6.7217,0.0,21.7297,2.3731,-0.8806,0.8806,0.5281,5.8448,0.0,22.9822,14.6542,-2.583,2.583,0.1224,16.4027,0.0,25.9138,16.5956,-3.4408,3.4408,0.1647,18.2598,0.0,26.0142,45.8714,26.8141,26.8141,0.9282,29.8147,0.0,32.4692,-15.032651634919956,0.10044
short,SHORT_CONTINUATION,2026-06-12 08:00:00,ESPORTSUSDT,return_2h,18.9758,19.6594,17.5793,48.4224,False,True,1.4245,19.3138,7.9133,7.503,4.0,1.0,0.0,0.0,0.1182,94.1627,6.351206230287238,3.5823,-16.2159,16.2159,0.3901,30.034,0.0,13.2251,2.01,12.6243,12.6243,0.8315,17.0542,0.0,37.2862,3.3325,-18.9758,18.9758,0.2982,30.034,0.0,29.1748,2.2594,9.8462,9.8462,0.8418,17.7167,0.0,64.7901,3.7132,-19.6594,19.6594,0.2754,30.034,0.0,55.0125,3.9097,31.4816,31.4816,0.9042,35.0313,0.0,102.2325,2.8684,5.5941,5.5941,0.271,40.1156,0.0,83.0603,1.0064,12.9043,12.9043,0.6782,23.4075,0.0,83.1439,-3.9174812368213026,0.22677
