rule_id,rule_expr,direction,cluster_id,expr_clusters,empirical_cluster,cluster_members,best_regime,volatility_preference,avg_return_2h,trade_count,status_tags
EX_AND_E_rank_obs_return_top5_gte_0.375_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.375 AND rank_obs_return_top5 >= 0.75),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,rank_only
EX_AND_E_rank_obs_return_top5_gte_0.5_E_rank_obs_return_top5_gte_0.625,(rank_obs_return_top5 >= 0.5 AND rank_obs_return_top5 >= 0.625),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,rank_only
EX_AND_E_rank_obs_return_top5_gte_0.5_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.5 AND rank_obs_return_top5 >= 0.75),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,rank_only
EX_AND_E_rank_obs_return_top5_gte_0.625_E_rank_obs_return_top5_gte_0.75,(rank_obs_return_top5 >= 0.625 AND rank_obs_return_top5 >= 0.75),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8745,21,rank_only
EX_OR_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 1 OR rank_obs_return_top5 >= 0.125),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,momentum_hybrid
EX_OR_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 1 OR rank_obs_return_top5 >= 0.25),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,momentum_hybrid
EX_OR_E_pattern_confidence_lte_0.452425_E_rank_obs_return_top5_gte_0.125,(pattern_confidence <= 0.4524 OR rank_obs_return_top5 >= 0.125),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,discovered
EX_OR_E_pattern_confidence_lte_0.452425_E_rank_obs_return_top5_gte_0.25,(pattern_confidence <= 0.4524 OR rank_obs_return_top5 >= 0.25),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,discovered
EX_OR_E_pattern_confidence_lte_0.474463_E_rank_obs_return_top5_gte_0.125,(pattern_confidence <= 0.4745 OR rank_obs_return_top5 >= 0.125),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,discovered
EX_OR_E_pattern_confidence_lte_0.474463_E_rank_obs_return_top5_gte_0.25,(pattern_confidence <= 0.4745 OR rank_obs_return_top5 >= 0.25),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,5.8078,21,discovered
