formula_id,rounds_total,rounds_beat_baseline,round_win_rate,stability_std,avg_generalization_score,survived
SF_AND_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2037,15.6259,True
SF_ATOM_25,17,17,1.0,1.2037,15.6259,True
SF_OR_SF_15m_current_ma20_distance_pct_gte_26.750886_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2037,15.6259,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_51.022186_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2037,15.6259,True
SF_OR_SF_1h_current_return_pct_gte_18.082043_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2037,15.6259,True
SF_AND_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786_SF_15m_current_body_pct_gte_9.0914,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_15m_current_body_pct_gte_13.6371_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_15m_current_body_pct_gte_13.6371_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_15m_current_body_pct_gte_13.6371,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_2h_current_range_pct_gte_29.928486,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_30m_current_body_pct_gte_10.647286,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_30m_current_body_pct_gte_15.970929,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_30m_current_range_pct_gte_22.8592,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_15m_current_body_pct_gte_13.6371,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_15m_current_body_pct_gte_9.0914,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_2h_current_range_pct_gte_29.928486,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_2h_previous_ma20_distance_pct_gte_65.594714,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_30m_current_body_pct_gte_10.647286,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_30m_current_body_pct_gte_15.970929,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_30m_current_range_pct_gte_12.1684,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_30m_current_range_pct_gte_22.8592,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_51.022186_SR_1h_current_range_pct_5m_compression_15262639999.999996,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_2h_current_range_pct_gte_29.928486_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_2h_previous_ma20_distance_pct_gte_65.594714_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_30m_current_body_pct_gte_15.970929_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_30m_current_range_pct_gte_22.8592_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2233,15.6233,True
SF_AND_SF_30m_current_range_pct_gte_22.8592_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2233,15.6233,True
SF_ATOM_7,17,17,1.0,1.2233,15.6233,True
SF_ORAND_SF_1h_current_ma20_distance_pct_gte_51.022186,17,17,1.0,1.2233,15.6233,True
SF_OR_SF_1h_current_return_pct_gte_18.082043_SF_1h_current_ma20_distance_pct_gte_51.022186,17,17,1.0,1.2233,15.6233,True
SF_OR_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.244,15.6232,True
SF_OR_SF_15m_current_return_pct_gte_10.127714_SF_15m_current_ma20_distance_pct_gte_26.750886,17,17,1.0,1.2398,15.6221,True
SF_OR_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_2h_previous_body_pct_gte_34.349857,17,17,1.0,1.2421,15.6218,True
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_current_body_pct_gte_13.739943,17,17,1.0,1.2339,15.6214,True
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2339,15.6214,True
SF_AND_SF_1h_current_return_pct_gte_8.969214_SF_2h_current_body_pct_gte_13.739943,17,17,1.0,1.2339,15.6214,True
SF_AND_SF_1h_current_return_pct_gte_8.969214_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2339,15.6214,True
SF_OR_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2656,15.6207,True
SF_AND_SF_30m_current_body_pct_gte_10.647286_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2088,15.6176,True
SF_AND_SF_30m_current_body_pct_gte_15.970929_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2088,15.6176,True
SF_AND_SF_30m_current_range_pct_gte_22.8592_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2088,15.6176,True
SF_OR_SF_2h_previous_body_pct_gte_34.349857_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2449,15.6155,True
