formula_id,formula_expr,kind,pass_bonus,source,linear_terms
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_current_range_pct_gte_44.892729,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_current_range_pct >= 44.89),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_previous_body_pct_gte_27.479886,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_previous_body_pct >= 27.48),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_previous_body_pct_gte_34.349857,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_previous_body_pct >= 34.35),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_previous_ma20_distance_pct_gte_65.594714,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_previous_ma20_distance_pct >= 65.59),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_previous_return_pct_gte_26.298514,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 2h_previous_return_pct >= 26.3),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_30m_current_body_pct_gte_10.647286,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 30m_current_body_pct >= 10.65),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_30m_current_body_pct_gte_15.970929,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 30m_current_body_pct >= 15.97),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_30m_current_range_pct_gte_12.1684,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 30m_current_range_pct >= 12.17),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_30m_current_range_pct_gte_22.8592,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 30m_current_range_pct >= 22.86),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_30m_previous_ma20_distance_pct_gte_39.165157,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 30m_previous_ma20_distance_pct >= 39.17),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_derived_range_expansion_gte_19.663914,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND derived_range_expansion >= 19.66),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_derived_range_expansion_gte_8.077786,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND derived_range_expansion >= 8.078),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SR_1h_current_range_pct_5m_compression_15262639999.999996,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_range_pct/5m_compression >= 1.526e+10),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SR_1h_current_range_pct_5m_compression_30525279999.999992,((1h_current_range_pct - 1h_previous_range_pct) >= 21.98 AND 1h_current_range_pct/5m_compression >= 3.053e+10),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056_SD_1h_current_return_pct_15m_current_return_pct_lte_-12.62842,((1h_current_range_pct - 1h_previous_range_pct) >= 5.761 AND (1h_current_return_pct - 15m_current_return_pct) <= -12.63),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056_SF_2h_current_range_pct_gte_14.964243,((1h_current_range_pct - 1h_previous_range_pct) >= 5.761 AND 2h_current_range_pct >= 14.96),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056_SF_2h_previous_body_pct_gte_27.479886,((1h_current_range_pct - 1h_previous_range_pct) >= 5.761 AND 2h_previous_body_pct >= 27.48),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056_SR_1h_current_range_pct_5m_compression_30525279999.999992,((1h_current_range_pct - 1h_previous_range_pct) >= 5.761 AND 1h_current_range_pct/5m_compression >= 3.053e+10),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_1h_current_body_pct_1h_previous_body_pct_gte_18.78308,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND (1h_current_body_pct - 1h_previous_body_pct) >= 18.78),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND (1h_current_range_pct - 1h_previous_range_pct) >= 21.98),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND (1h_current_range_pct - 1h_previous_range_pct) >= 5.761),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_1h_current_return_pct_15m_current_return_pct_lte_-12.62842,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND (1h_current_return_pct - 15m_current_return_pct) <= -12.63),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND (2h_current_return_pct - 1h_current_return_pct) >= 13.62),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_body_pct_gte_13.6371,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_body_pct >= 13.64),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_body_pct_gte_9.0914,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_body_pct >= 9.091),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_ma20_distance_pct_gte_17.364729,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_ma20_distance_pct >= 17.36),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_ma20_distance_pct_gte_26.750886,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_ma20_distance_pct >= 26.75),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_15m_current_return_pct_gte_10.127714,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 15m_current_return_pct >= 10.13),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_ma20_distance_pct_gte_20.388471,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 1h_current_ma20_distance_pct >= 20.39),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_ma20_distance_pct_gte_35.705329,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 1h_current_ma20_distance_pct >= 35.71),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_ma20_distance_pct_gte_51.022186,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 1h_current_ma20_distance_pct >= 51.02),ast,50.0,and_pair,[]
